Username                   GitCred
tomocchino                 3.32
wonko9                     3.31
plu                        3.31
fastip                     3.31
zodttd                     3.31
Empact                     3.31
himanshuc                  3.31
godlygeek                  3.30
spiiph                     3.30
gi-el                      3.30
sferik                     3.30
django                     3.30
sneeu                      3.29
lholden                    3.29
fizx                       3.29
ncr                        3.29
anildash                   3.29
twonds                     3.28
jeannie                    3.28
lacomartincik              3.28
verbal                     3.27
hpoydar                    3.27
atnan                      3.27
brehaut                    3.27
x-cubed                    3.27
nickb                      3.27
markbates                  3.26
stubbornella               3.26
edgecase                   3.26
rsanheim                   3.26
weplay                     3.26
jfahrenkrug                3.26
nono                       3.26
jackdempsey                3.25
choonkeat                  3.25
rares                      3.25
macsphere                  3.25
fczuardi                   3.25
guitsaru                   3.25
darkwing                   3.25
monde                      3.24
hanekomu                   3.24
tobytripp                  3.24
mutoh                      3.24
voitto                     3.24
yrashk                     3.24
bitbckt                    3.24
jcarbaugh                  3.23
dambalah                   3.23
jeremyevans                3.23
ashbb                      3.23
jamesmacaulay              3.22
trhermans                  3.22
cardinal                   3.22
jpalardy                   3.21
camping                    3.21
briandfoy                  3.21
pdcawley                   3.21
trek                       3.21
jefftriplett               3.21
takeo                      3.21
angelo0000                 3.21
bekkopen                   3.20
delano                     3.20
dpickett                   3.20
cduruk                     3.20
Ramarren                   3.20
shortbord                  3.20
michael                    3.20
seki                       3.20
mmower                     3.20
ibolmo                     3.20
schambers                  3.19
holman                     3.19
fayland                    3.19
Guille                     3.19
duelinmarkers              3.19
bartman                    3.19
taf2                       3.19
rdp                        3.19
cjmartin                   3.19
hlship                     3.19
jhaynie                    3.18
pablete                    3.18
henningjensen              3.18
faithfulgeek               3.18
robertpostill              3.18
antoniogarrote             3.18
bscofield                  3.18
lukemelia                  3.17
fictorial                  3.17
lopnor                     3.17
bcardarella                3.17
haraldmartin               3.16
james                      3.16
cohitre                    3.16
w00fz                      3.16
cpojer                     3.16
gnufied                    3.16
daksis                     3.15
dcramer                    3.15
evan                       3.15
netik                      3.15
lvalverde                  3.15
rabbitmq                   3.15
tyler                      3.14
oskarkrawczyk              3.14
samoli                     3.14
masuidrive                 3.14
marcandre                  3.14
slavapestov                3.14
stuartsierra               3.13
arnaudsj                   3.13
troy                       3.13
nsorosac                   3.13
andyhd                     3.13
ursm                       3.13
bigtiger                   3.12
paulp                      3.12
seven1m                    3.12
geoffgarside               3.12
tim                        3.12
infochimps                 3.12
bonnu                      3.12
ymendel                    3.12
seanhussey                 3.11
hardbap                    3.11
jamesrose                  3.11
localhost                  3.11
Kimtaro                    3.11
jnicklas                   3.11
drbrain                    3.11
skwp                       3.10
appcelerator               3.10
andrew                     3.10
lenn0x                     3.10
thilo                      3.10
lukesutton                 3.10
eastmedia                  3.10
hober                      3.10
copiousfreetime            3.10
rklophaus                  3.10
mohlendo                   3.10
djanowski                  3.09
chrislloyd                 3.09
damon                      3.09
silentrob                  3.09
saturnflyer                3.09
scrod                      3.09
thauber                    3.09
rictic                     3.09
kusor                      3.09
nicolaslara                3.08
mndoci                     3.08
tomafro                    3.08
mataspetrikas              3.08
spanner                    3.08
sonian                     3.08
pengwynn                   3.08
bastos                     3.08
montylounge                3.08
avibryant                  3.08
alanfalloon                3.07
danielw                    3.07
adambair                   3.07
botanicus                  3.07
jcfischer                  3.07
ch0wda                     3.07
rspec                      3.07
richleland                 3.06
skyfallsin                 3.06
jfishman                   3.06
kgbtech                    3.06
APE-Project                3.06
jgarber                    3.06
igorgue                    3.06
abedra                     3.05
elight                     3.05
jstrom                     3.05
grockit                    3.05
eduardo                    3.05
threedaymonk               3.04
straup                     3.04
shanev                     3.04
dsboulder                  3.04
faisal                     3.03
heycarsten                 3.03
matthewford                3.03
zachhale                   3.03
omega                      3.03
charley                    3.03
intridea                   3.02
microformats               3.02
jdg                        3.02
russss                     3.02
srush                      3.02
anderssv                   3.02
mattyoho                   3.02
roblingle                  3.02
eventualbuddha             3.01
Syd                        3.01
claco                      3.01
kraih                      3.01
EvanBurchard               3.01
dastels                    3.01
tekin                      3.01
bos                        3.01
ecin                       3.00
cmer                       3.00
alexcharlie                3.00
boboroshi                  3.00
armyofgnomes               3.00
onkis                      3.00
catap                      3.00
rfwatson                   2.99
SmileyChris                2.99
mintchaos                  2.99
ddollar                    2.99
chunzi                     2.99
andreasronge               2.99
torsten                    2.99
kangax                     2.98
isaacs                     2.98
jonathansnook              2.98
omz                        2.98
davelyon                   2.98
lancecarlson               2.98
christos                   2.98
mlooney                    2.98
leedo                      2.98
arya                       2.98
softlayer                  2.98
jluebbert                  2.97
wr0ngway                   2.97
ninajansen                 2.97
rockshandy                 2.96
mlang                      2.96
ccjr                       2.96
adamcooke                  2.96
apillet                    2.96
dbravender                 2.96
georgi                     2.96
famoseagle                 2.96
dehora                     2.96
zerok                      2.95
nskboy                     2.95
matthewd                   2.95
jscruggs                   2.95
iterationlabs              2.95
chrisdolan                 2.95
afh                        2.95
sebastiandeutsch           2.95
skozlov                    2.95
itszero                    2.95
skippy                     2.94
joshuabates                2.94
rhulse                     2.94
dstrelau                   2.94
turingeret                 2.94
echown                     2.94
bry4n                      2.94
frabcus                    2.94
outoftime                  2.93
fermion                    2.93
sermoa                     2.93
rpheath                    2.93
coderrr                    2.93
derencius                  2.93
naoya                      2.92
parolkar                   2.92
shoes                      2.92
steveklabnik               2.92
jnoller                    2.92
pauldowman                 2.92
HonzaKral                  2.92
samv                       2.92
codepo8                    2.92
troelskn                   2.92
charlenopires              2.92
freels                     2.92
hayeah                     2.91
webandy                    2.91
TwP                        2.91
l4rk                       2.91
davetron5000               2.90
gmalamid                   2.90
jm3                        2.90
priith                     2.90
nrk                        2.90
jasonmay                   2.90
peterpunk                  2.90
kron4eg                    2.90
jpf                        2.89
yashh                      2.89
ericcj                     2.89
wagerlabs                  2.89
omnigroup                  2.89
ja                         2.89
Pistos                     2.89
andk                       2.89
spiceee                    2.89
rubyphunk                  2.88
documentcloud              2.88
visualcube                 2.88
gerhard                    2.88
ialexi                     2.88
marcelinollano             2.88
juliehache                 2.88
bingos                     2.88
harperreed                 2.88
mihasya                    2.88
jr                         2.87
jfarmer                    2.87
javan                      2.87
SilverTab                  2.87
pvh                        2.87
dottedmag                  2.87
ffi                        2.87
mitchellh                  2.87
voloko                     2.87
acdha                      2.87
eveel                      2.86
metade                     2.86
dakrone                    2.86
thumblemonks               2.86
orderedlist                2.86
danrubin                   2.86
durran                     2.86
toretore                   2.86
rberger                    2.86
wgibbs                     2.86
paulsmith                  2.86
evaryont                   2.86
brianjlandau               2.85
mperham                    2.85
tobyjoe                    2.85
zimbatm                    2.85
dannytatom                 2.85
joshholt                   2.85
etgryphon                  2.85
bsag                       2.85
amerine                    2.84
hungryblank                2.84
szaboat                    2.84
subelsky                   2.84
lenary                     2.84
ato                        2.84
ramalho                    2.84
sbecker                    2.84
veszig                     2.84
dctanner                   2.83
imagetic                   2.83
ook                        2.83
deadprogrammer             2.83
webco                      2.83
leshill                    2.83
l15n                       2.83
dgiunta                    2.83
aanand                     2.83
markaby                    2.82
ashb                       2.82
timriley                   2.82
gwachob                    2.82
camflan                    2.82
lenalena                   2.82
garru                      2.82
jkatz                      2.82
tmaesaka                   2.82
Sophrinix                  2.82
devyn                      2.81
andreberg                  2.81
reddavis                   2.81
indeyets                   2.81
actionrails                2.81
norio                      2.81
mathie                     2.80
vijaykiran                 2.80
danielsdeleo               2.80
hukl                       2.80
jodosha                    2.80
nerdEd                     2.80
techcrunch                 2.80
emk                        2.80
jgmorris                   2.80
andre                      2.79
simonwistow                2.79
foursquare                 2.79
drewr                      2.79
brycethornton              2.79
voxdolo                    2.79
redmar                     2.79
sungo                      2.79
cldwalker                  2.79
metaskills                 2.79
makoto                     2.78
dankogai                   2.78
hirose31                   2.78
jmonteiro                  2.78
ayn                        2.78
cthulhuology               2.78
kazuho                     2.78
greghouston                2.78
calyptus                   2.78
samleb                     2.78
cloudkick                  2.78
jwilson                    2.78
mullr                      2.78
alawrenc                   2.78
codinghorror               2.78
caueguerra                 2.77
jamesaduncan               2.77
stickel                    2.77
railsrumble                2.77
choan                      2.77
JakeWharton                2.77
tiennou                    2.77
frankwiles                 2.77
luigi                      2.77
lucashungaro               2.76
mtrichardson               2.76
lorn                       2.76
philm                      2.76
jubishop                   2.76
davebryson                 2.75
arthurk                    2.75
authorNari                 2.75
coreyti                    2.75
libin                      2.75
